Actividad,Inicio,Fin,Descuento,Notas,Estado
Precio JUL-SEP15,7/19/2022,9/15/2022,12,Descuento,Restar
Apartado,7/19/2022,12/10/2022,9,"Anticipo de 2 mil pesos por bolsa, para respetar la promoción de 9% sobre precio de temporada",Restar
Precio 16 SEP-OCT,9/16/2022,10/31/2022,7,Descuento,Restar
Precio NOV-DIC,11/1/2022,12/31/2022,4,Descuento,Restar
Precio PV ENE-FEB,1/1/2023,2/28/2023,11,Descuento,Restar
Precio PV hasta 16 MZO,3/1/2023,3/16/2023,7,Descuento,Restar
Precio PV 17 al 31 MZO,3/17/2023,3/31/2023,4,"Descuento ",Restar
Precio Cosecha,4/1/2023,8/31/2023,8,Sobreprecio Falta Hacerle Ajustes Sobre precios preautorizados.,Sumar
Temporada,,,0,Precio Lleno,Sumar
